recall,robot1,robot2,robot3,robot4
0.000000,1.000000,1.000000,1.000000,1.000000
0.010000,1.000000,1.000000,0.999764,0.999764
0.020000,1.000000,1.000000,0.999735,0.999735
0.030000,1.000000,1.000000,0.998774,0.998774
0.040000,1.000000,1.000000,0.997883,0.997883
0.050000,1.000000,1.000000,0.996577,0.996577
0.060000,1.000000,1.000000,0.994293,0.994293
0.070000,1.000000,1.000000,0.991792,0.991792
0.080000,1.000000,1.000000,0.990006,0.990006
0.090000,1.000000,1.000000,0.988102,0.988102
0.100000,1.000000,1.000000,0.987380,0.987380
0.110000,1.000000,1.000000,0.986678,0.986678
0.120000,1.000000,1.000000,0.986459,0.986459
0.130000,0.999984,1.000000,0.986459,0.986444
0.140000,0.999984,1.000000,0.986459,0.986444
0.150000,0.999950,1.000000,0.986453,0.986416
0.160000,0.999916,1.000000,0.986453,0.986381
0.170000,0.999916,1.000000,0.986453,0.986381
0.180000,0.999847,1.000000,0.986453,0.986312
0.190000,0.999802,0.999987,0.986453,0.986254
0.200000,0.999783,0.999916,0.986453,0.986165
0.210000,0.999711,0.999886,0.986453,0.986062
0.220000,0.999693,0.999836,0.986453,0.985994
0.230000,0.999667,0.999719,0.986453,0.985851
0.240000,0.999643,0.999620,0.986453,0.985728
0.250000,0.999571,0.999443,0.986453,0.985479
0.260000,0.999534,0.999151,0.986453,0.985150
0.270000,0.999496,0.998810,0.986453,0.984771
0.280000,0.999456,0.998341,0.986453,0.984263
0.290000,0.999391,0.997774,0.986453,0.983631
0.300000,0.999324,0.997021,0.986453,0.982810
0.310000,0.999275,0.996178,0.986453,0.981918
0.320000,0.999253,0.995447,0.986451,0.981167
0.330000,0.999217,0.994551,0.986451,0.980235
0.340000,0.999128,0.993716,0.986451,0.979311
0.350000,0.999034,0.992737,0.986451,0.978239
0.360000,0.998887,0.991660,0.986451,0.977014
0.370000,0.998751,0.990146,0.986451,0.975364
0.380000,0.998545,0.988682,0.986451,0.973694
0.390000,0.998346,0.987361,0.986451,0.972174
0.400000,0.998046,0.985537,0.986451,0.970050
0.410000,0.997644,0.983769,0.986451,0.967880
0.420000,0.997158,0.981900,0.986451,0.965525
0.430000,0.996540,0.979788,0.986451,0.962795
0.440000,0.995755,0.977657,0.986445,0.959874
0.450000,0.994761,0.975317,0.986445,0.956539
0.460000,0.994065,0.972989,0.986425,0.953505
0.470000,0.993130,0.970311,0.986400,0.949877
0.480000,0.992125,0.967577,0.986295,0.946061
0.490000,0.991006,0.964395,0.986184,0.941719
0.500000,0.989690,0.961794,0.985951,0.937716
0.510000,0.988368,0.959369,0.985584,0.933959
0.520000,0.986630,0.957155,0.985139,0.930093
0.530000,0.984441,0.955197,0.984408,0.926031
0.540000,0.982188,0.953394,0.983362,0.921874
0.550000,0.979481,0.951688,0.982220,0.917219
0.560000,0.976569,0.950080,0.980317,0.911991
0.570000,0.973352,0.948271,0.977965,0.905805
0.580000,0.969572,0.946142,0.975463,0.898856
0.590000,0.965276,0.943832,0.971941,0.890669
0.600000,0.960013,0.940989,0.967708,0.880863
0.610000,0.954646,0.937903,0.962962,0.870335
0.620000,0.948224,0.934244,0.957574,0.857821
0.630000,0.940760,0.930397,0.951655,0.843987
0.640000,0.932333,0.925807,0.944168,0.826730
0.650000,0.922515,0.920993,0.935782,0.806897
0.660000,0.910999,0.915052,0.925711,0.782740
0.670000,0.898511,0.907621,0.913380,0.754252
0.680000,0.884420,0.899165,0.898696,0.722289
0.690000,0.869660,0.889577,0.881432,0.686344
0.700000,0.853935,0.879066,0.864243,0.649214
0.710000,0.837324,0.868208,0.847242,0.611739
0.720000,0.819466,0.855803,0.829763,0.572738
0.730000,0.801023,0.841887,0.812381,0.533979
0.740000,0.781068,0.824715,0.795513,0.495769
0.750000,0.759652,0.804214,0.779675,0.459536
0.760000,0.735384,0.780098,0.763763,0.422421
0.770000,0.708299,0.752363,0.746423,0.386179
0.780000,0.678740,0.721964,0.728133,0.350749
0.790000,0.646542,0.689898,0.708288,0.317646
0.800000,0.612382,0.654284,0.685078,0.286927
0.810000,0.575786,0.616854,0.657714,0.258280
0.820000,0.536026,0.573806,0.626338,0.232061
0.830000,0.494102,0.526700,0.591768,0.208310
0.840000,0.451232,0.476724,0.547738,0.187258
0.850000,0.405638,0.418630,0.491049,0.167803
0.860000,0.353410,0.359392,0.422757,0.150072
0.870000,0.297925,0.309641,0.354002,0.133969
0.880000,0.243283,0.266692,0.286756,0.119729
0.890000,0.202154,0.227796,0.232846,0.106440
0.900000,0.169631,0.194508,0.189806,0.094616
0.910000,0.144471,0.164630,0.154651,0.083612
0.920000,0.124505,0.138085,0.127703,0.073102
0.930000,0.108369,0.115459,0.107662,0.062839
0.940000,0.094541,0.097946,0.092562,0.053515
0.950000,0.081376,0.081765,0.078007,0.044313
0.960000,0.068386,0.066250,0.063675,0.035643
0.970000,0.055089,0.052637,0.049877,0.028898
0.980000,0.042516,0.041282,0.037490,0.024029
0.990000,0.030491,0.029759,0.026444,0.018456
1.000000,0.016708,0.016151,0.015430,0.010805
