recall,robot1,robot2,robot3,robot4
0.000000,1.000000,1.000000,1.000000,1.000000
0.010000,1.000000,1.000000,0.999764,0.999764
0.020000,1.000000,1.000000,0.999735,0.999735
0.030000,1.000000,1.000000,0.998774,0.998774
0.040000,1.000000,1.000000,0.997883,0.997883
0.050000,1.000000,1.000000,0.996577,0.996577
0.060000,1.000000,1.000000,0.994293,0.994293
0.070000,1.000000,1.000000,0.991816,0.991816
0.080000,1.000000,1.000000,0.990152,0.990152
0.090000,1.000000,1.000000,0.990152,0.990152
0.100000,1.000000,1.000000,0.990152,0.990152
0.110000,1.000000,1.000000,0.990152,0.990152
0.120000,1.000000,1.000000,0.990152,0.990152
0.130000,0.999984,1.000000,0.990152,0.990136
0.140000,0.999984,1.000000,0.990152,0.990136
0.150000,0.999957,1.000000,0.990152,0.990108
0.160000,0.999922,1.000000,0.990152,0.990074
0.170000,0.999922,1.000000,0.990152,0.990074
0.180000,0.999865,1.000000,0.990152,0.990017
0.190000,0.999819,0.999987,0.990152,0.989959
0.200000,0.999801,0.999916,0.990152,0.989868
0.210000,0.999738,0.999886,0.990152,0.989776
0.220000,0.999719,0.999836,0.990152,0.989707
0.230000,0.999692,0.999719,0.990152,0.989563
0.240000,0.999677,0.999620,0.990152,0.989449
0.250000,0.999604,0.999443,0.990152,0.989198
0.260000,0.999574,0.999151,0.990152,0.988877
0.270000,0.999534,0.998828,0.990152,0.988514
0.280000,0.999510,0.998418,0.990152,0.988079
0.290000,0.999458,0.997955,0.990152,0.987565
0.300000,0.999389,0.997352,0.990152,0.986893
0.310000,0.999345,0.996695,0.990152,0.986192
0.320000,0.999323,0.996099,0.990152,0.985574
0.330000,0.999285,0.995427,0.990152,0.984864
0.340000,0.999214,0.994867,0.990152,0.984232
0.350000,0.999136,0.994178,0.990152,0.983466
0.360000,0.998993,0.993403,0.990152,0.982548
0.370000,0.998890,0.992323,0.990152,0.981364
0.380000,0.998710,0.991243,0.990152,0.980105
0.390000,0.998534,0.990370,0.990152,0.979056
0.400000,0.998312,0.989116,0.990152,0.977580
0.410000,0.997940,0.988016,0.990152,0.976108
0.420000,0.997478,0.986797,0.990152,0.974427
0.430000,0.996917,0.985507,0.990152,0.972576
0.440000,0.996152,0.984236,0.990152,0.970539
0.450000,0.995262,0.982740,0.990152,0.968154
0.460000,0.994669,0.981383,0.990142,0.966204
0.470000,0.993891,0.979700,0.990131,0.963741
0.480000,0.993096,0.978123,0.990029,0.961296
0.490000,0.992182,0.976207,0.989943,0.958436
0.500000,0.991142,0.974700,0.989766,0.955859
0.510000,0.990178,0.973301,0.989472,0.953560
0.520000,0.988987,0.971956,0.989127,0.951192
0.530000,0.987493,0.970679,0.988539,0.948650
0.540000,0.985929,0.969571,0.987708,0.946091
0.550000,0.984277,0.968513,0.986818,0.943384
0.560000,0.982482,0.967422,0.985372,0.940220
0.570000,0.980585,0.966108,0.983644,0.936461
0.580000,0.978336,0.964613,0.981832,0.932361
0.590000,0.975750,0.962863,0.979389,0.927511
0.600000,0.972636,0.960622,0.976332,0.921593
0.610000,0.969304,0.958251,0.973080,0.915245
0.620000,0.965191,0.955403,0.969356,0.907472
0.630000,0.960533,0.952407,0.965513,0.899308
0.640000,0.954873,0.948973,0.960738,0.888588
0.650000,0.948055,0.945275,0.955239,0.875678
0.660000,0.940182,0.940802,0.948725,0.860089
0.670000,0.931426,0.935275,0.940705,0.841318
0.680000,0.921403,0.928926,0.930852,0.819951
0.690000,0.910617,0.921717,0.918639,0.794834
0.700000,0.898858,0.913783,0.905758,0.767583
0.710000,0.885789,0.905506,0.892234,0.738200
0.720000,0.871438,0.896040,0.877445,0.705705
0.730000,0.856621,0.885706,0.861951,0.671759
0.740000,0.840905,0.873369,0.846155,0.636372
0.750000,0.823876,0.859272,0.831359,0.601047
0.760000,0.804939,0.842758,0.815935,0.562948
0.770000,0.783817,0.823036,0.798978,0.523707
0.780000,0.760115,0.800186,0.781961,0.484000
0.790000,0.734216,0.776286,0.764451,0.445696
0.800000,0.706231,0.749023,0.746791,0.409421
0.810000,0.675433,0.719269,0.727477,0.374405
0.820000,0.641719,0.684247,0.705854,0.341432
0.830000,0.606981,0.645805,0.683468,0.310962
0.840000,0.573355,0.605235,0.655983,0.283615
0.850000,0.539252,0.557900,0.621604,0.258183
0.860000,0.501325,0.508883,0.580655,0.234530
0.870000,0.460255,0.462701,0.535814,0.212841
0.880000,0.417417,0.418357,0.486029,0.193573
0.890000,0.376558,0.373464,0.435317,0.175306
0.900000,0.336446,0.331427,0.385475,0.158858
0.910000,0.298643,0.291024,0.336365,0.143260
0.920000,0.265099,0.252998,0.294023,0.128025
0.930000,0.236752,0.218432,0.259457,0.112616
0.940000,0.210912,0.190331,0.231300,0.098258
0.950000,0.184945,0.163064,0.202584,0.083616
0.960000,0.157951,0.135299,0.172269,0.069220
0.970000,0.127659,0.108979,0.138769,0.057478
0.980000,0.097082,0.085176,0.104763,0.048695
0.990000,0.067564,0.060514,0.072689,0.038082
1.000000,0.038099,0.035732,0.046554,0.023608
