recall,robot1,robot2,robot3,robot4
0.000000,1.000000,1.000000,1.000000,1.000000
0.010000,1.000000,1.000000,1.000000,1.000000
0.020000,1.000000,1.000000,1.000000,1.000000
0.030000,1.000000,1.000000,1.000000,1.000000
0.040000,1.000000,1.000000,1.000000,1.000000
0.050000,1.000000,1.000000,1.000000,1.000000
0.060000,1.000000,1.000000,1.000000,1.000000
0.070000,1.000000,1.000000,1.000000,1.000000
0.080000,1.000000,1.000000,1.000000,1.000000
0.090000,1.000000,1.000000,1.000000,1.000000
0.100000,1.000000,1.000000,1.000000,1.000000
0.110000,1.000000,1.000000,1.000000,1.000000
0.120000,1.000000,1.000000,1.000000,1.000000
0.130000,1.000000,1.000000,1.000000,1.000000
0.140000,1.000000,1.000000,1.000000,1.000000
0.150000,1.000000,1.000000,1.000000,1.000000
0.160000,1.000000,1.000000,1.000000,1.000000
0.170000,1.000000,1.000000,1.000000,1.000000
0.180000,1.000000,1.000000,1.000000,1.000000
0.190000,1.000000,1.000000,1.000000,1.000000
0.200000,1.000000,1.000000,1.000000,1.000000
0.210000,1.000000,1.000000,1.000000,1.000000
0.220000,1.000000,1.000000,1.000000,1.000000
0.230000,1.000000,1.000000,1.000000,1.000000
0.240000,1.000000,1.000000,0.999978,0.999978
0.250000,1.000000,1.000000,0.999935,0.999935
0.260000,1.000000,1.000000,0.999861,0.999861
0.270000,1.000000,1.000000,0.999673,0.999673
0.280000,1.000000,1.000000,0.999374,0.999374
0.290000,1.000000,1.000000,0.998782,0.998782
0.300000,1.000000,0.999989,0.998015,0.998004
0.310000,1.000000,0.999989,0.996808,0.996797
0.320000,1.000000,0.999989,0.995177,0.995167
0.330000,0.999987,0.999968,0.993318,0.993274
0.340000,0.999987,0.999939,0.991374,0.991301
0.350000,0.999963,0.999881,0.988890,0.988734
0.360000,0.999879,0.999709,0.985977,0.985565
0.370000,0.999658,0.999523,0.982616,0.981828
0.380000,0.999438,0.999185,0.978978,0.977690
0.390000,0.999140,0.998773,0.974340,0.972442
0.400000,0.998618,0.998262,0.969023,0.966200
0.410000,0.997970,0.997560,0.962832,0.958810
0.420000,0.997260,0.996731,0.955920,0.950502
0.430000,0.996382,0.995515,0.948206,0.941105
0.440000,0.995203,0.993269,0.938765,0.928791
0.450000,0.993701,0.991220,0.929360,0.916384
0.460000,0.991973,0.988711,0.919264,0.902915
0.470000,0.989627,0.984545,0.908397,0.886743
0.480000,0.986857,0.979251,0.897222,0.868985
0.490000,0.983649,0.972855,0.885612,0.849706
0.500000,0.979577,0.966519,0.873182,0.829503
0.510000,0.974514,0.959430,0.860206,0.807733
0.520000,0.968727,0.952040,0.846685,0.784738
0.530000,0.962280,0.944674,0.832674,0.760899
0.540000,0.954226,0.936369,0.817969,0.735660
0.550000,0.945353,0.926853,0.803762,0.709204
0.560000,0.935854,0.915975,0.789597,0.681576
0.570000,0.926468,0.903580,0.776494,0.654202
0.580000,0.916960,0.890741,0.762253,0.627630
0.590000,0.906145,0.877887,0.748382,0.601335
0.600000,0.894487,0.863496,0.734686,0.574083
0.610000,0.881855,0.846972,0.721027,0.545781
0.620000,0.868369,0.830708,0.707103,0.518183
0.630000,0.854072,0.811812,0.693057,0.489184
0.640000,0.839015,0.794110,0.678480,0.461867
0.650000,0.823059,0.776567,0.663777,0.435811
0.660000,0.806049,0.757128,0.648530,0.409583
0.670000,0.788361,0.738582,0.632445,0.384465
0.680000,0.769690,0.719479,0.616405,0.359583
0.690000,0.748826,0.699817,0.599627,0.335478
0.700000,0.727704,0.679839,0.582902,0.312483
0.710000,0.704426,0.657955,0.564580,0.289367
0.720000,0.680451,0.635779,0.545729,0.267262
0.730000,0.655301,0.612368,0.525177,0.245819
0.740000,0.629659,0.587565,0.503848,0.225899
0.750000,0.602680,0.562142,0.479513,0.206968
0.760000,0.575895,0.536489,0.454482,0.190215
0.770000,0.548940,0.510302,0.430034,0.174412
0.780000,0.521075,0.483451,0.404424,0.160189
0.790000,0.491916,0.455899,0.379118,0.146505
0.800000,0.462274,0.428799,0.352738,0.133829
0.810000,0.430928,0.399969,0.324995,0.122449
0.820000,0.399104,0.370284,0.297088,0.112417
0.830000,0.365970,0.341108,0.270475,0.103134
0.840000,0.330483,0.310021,0.242835,0.094525
0.850000,0.296381,0.279268,0.215919,0.087113
0.860000,0.262163,0.247890,0.191103,0.080232
0.870000,0.231914,0.220057,0.168633,0.074325
0.880000,0.203067,0.192963,0.148126,0.068680
0.890000,0.176504,0.167697,0.129299,0.063888
0.900000,0.153402,0.145645,0.112476,0.059515
0.910000,0.132604,0.126819,0.097181,0.055361
0.920000,0.115217,0.109988,0.084588,0.051486
0.930000,0.099391,0.094942,0.073758,0.047745
0.940000,0.086084,0.082595,0.064734,0.044257
0.950000,0.074861,0.072006,0.056676,0.040793
0.960000,0.064649,0.063275,0.049325,0.037262
0.970000,0.056080,0.055658,0.043051,0.033697
0.980000,0.048386,0.048566,0.037565,0.030240
0.990000,0.040565,0.040995,0.032388,0.026738
1.000000,0.028357,0.027253,0.022767,0.020440
